key_resp.corr,key_resp.duration,tilt,,Hit,Miss,Fa,Cr,
0,None,0,,,1,,,
0,None,0,,,1,,,
0,None,0,,,1,,,
1,None,1,,,,,1,
0,None,0,,,1,,,
0,None,0,,,1,,,
1,None,3,,,,,1,
1,None,4,,,,,1,
1,None,3,,,,,1,
0,None,0,,,1,,,
0,None,0,,,1,,,
1,None,2,,,,,1,
0,None,0,,,0,,,
1,None,1,,,,,1,
0,None,0,,,0,,,
1,None,1,,,,,1,
0,None,0,,,,1,,
1,None,2,,,,,1,
0,None,0,,,0,,,
1,None,0,,,,,1,
1,None,0,,,,,1,
0,None,4,,1,,,,
1,None,0,,,,,1,
1,None,0,,,,,1,
1,None,0,,,,,1,
1,None,4,,,,,1,
0,None,0,,,0,,,
0,None,0,,,0,,,
1,None,4,,,,,1,
1,None,2,,,,,1,
0,None,0,,,0,,,
0,None,0,,,0,,,
1,None,3,,,,,1,
0,None,0,,,0,,,
0,None,0,,,0,,,
1,None,3,,,,,1,
1,None,1,,,,,1,
0,None,1,,,,1,,
1,None,3,,,,,1,
1,None,2,,,,,1,
0,None,0,,,,1,,
0,None,0,,,,1,,
1,None,4,,,,,1,
0,None,0,,,,1,,
0,None,0,,,,1,,
1,None,2,,,,1,,
0,None,0,,,,1,,
1,None,1,,,,,,1
0,None,0,,,,1,,
1,None,2,,,,,,1
0,None,0,,,,1,,
0,None,0,,,,1,,
1,None,2,,,,,,1
1,None,1,,,,,,1
1,None,2,,,,,,1
0,None,0,,,,1,,
0,None,1,,,,1,,
0,None,0,,,,1,,
1,None,1,,,,,,1
1,None,1,,,,,,1
1,None,3,,,1,,,
0,None,0,,,,,1,
0,None,0,,,1,,,
0,None,0,,,1,,,
0,None,0,,,1,,,
1,None,4,,,1,,,
1,None,3,,,,,,1
0,None,0,,,1,,,
0,None,0,,,1,,,
1,None,3,,,,,,1
1,None,1,,,,,,1
1,None,3,,,,,,1
1,None,2,,,,,,1
0,None,0,,,1,,,
1,None,3,,,,,,1
1,None,1,,,,,,1
1,None,4,,,,,,1
1,None,1,,,,,,1
0,None,0,,,1,,,
1,None,1,,,,,,1
1,None,4,,,,,,1
1,None,1,,,,,,1
0,None,0,,,1,,,
1,None,2,,,,,,1
1,None,3,,,,,,1
1,None,3,,,,,,1
0,None,0,,,1,,,
1,None,1,,,,,,1
0,None,0,,,1,,,
1,None,1,,,,,,1
0,None,0,,,1,,,
0,None,0,,,1,,,
0,None,0,,,1,,,
1,None,2,,,,,,1
1,None,4,,,1,,,
1,None,4,,,,,,1
1,None,2,,,1,,,
0,None,0,,,1,,,
0,None,0,,,1,,,
0,None,0,,,1,,,
,,,,1,1,1,1,1
